Image_Name,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25
000c1434d8d7,0.027100278103862317,0.00906152174520642,0.014796103750908165,0.017704228156967712,0.012805384360966517,0.013007440559375218,0.010770847308401655,0.011988425149533058,0.01588746925484912,0.01869645801889402,0.01872862979111904,0.024547062207687795,0.018507940168073223,0.02846182826504142,0.024475731128998843,0.027784037443866406,0.02437484860342447,0.03239289856895252,0.023273875239905005,0.027509340004098954,0.02854174818789904,0.027031712924142935,0.020015646253749686,0.014145389624908957,0.2646912907373208,0.24369986444183223
001639a390f0,0.01640032515325968,0.005166116980639797,0.01187356755548085,0.01674460678815635,0.00941162632530219,0.009376106359587693,0.0081681363780348,0.00982913149607752,0.014639757672312383,0.019125317932807594,0.02026719748635072,0.030004472021912473,0.0233358896062754,0.039736942627684964,0.031017227765665602,0.03902232167812566,0.029652911705516927,0.04084752385078294,0.026483628207277832,0.029294218281252487,0.028535779669069963,0.027774575157917872,0.02044043010602389,0.014745152980416057,0.28350624569101646,0.19460079052303741
0024cdab0c1e,0.037905180898464015,0.012276070436719577,0.019036158711508076,0.01951467940305749,0.014997224723044168,0.013673961226233385,0.01024587427899997,0.010720818582720164,0.011888866847742872,0.012383362071596127,0.012617496261482288,0.016170756782738344,0.0134274288918726,0.02085725539414605,0.01735168004394624,0.021421847819451986,0.01807148770104025,0.026306955168308954,0.02084914891506649,0.027543670079652652,0.03147054391613439,0.03000327120273374,0.023201219977415748,0.015184389019439928,0.2326266232032172,0.3102540284432434
002c21358ce6,0.041922902494327265,0.01247437641723243,0.01776689342403467,0.019185487528342933,0.016206802721086967,0.015271655328796803,0.01272834467120066,0.01400090702947719,0.01605351473922757,0.018723809523807828,0.022143310657594367,0.03069750566893146,0.030718367346935994,0.03405986394557515,0.024981405895689347,0.024137868480723437,0.01994104308389842,0.024079818594102128,0.01921814058956742,0.02276643990929499,0.02598820861677769,0.0266612244897935,0.020609523809521944,0.01427301587301458,0.19258956916098027,0.2827999999999744
005b95c28852,0.030001958211262066,0.010416348775227534,0.011453628540038698,0.010739962259928043,0.00941912333170543,0.008050918579101306,0.006566683451334427,0.006535847981770626,0.006484031677245887,0.006456375122070107,0.006921768188476342,0.007748285929361732,0.007900873819986727,0.008166948954264062,0.007532755533853927,0.007327079772948985,0.007420857747395597,0.007960001627603913,0.008080164591471097,0.010105133056640304,0.012306849161783463,0.014463106791177925,0.012769381205240479,0.009691874186197609,0.5694589614867983,0.1960210800170836
0083ee8054ee,0.041689552543844606,0.015470776939794607,0.016526302487732677,0.01565793171280016,0.01317758923667297,0.013365998551118533,0.01082520998742709,0.011988169902318985,0.013684195879994514,0.014737668541939836,0.016639895512664746,0.021059987153495413,0.019874901689570564,0.022140831628677377,0.02139802904696796,0.02110207131634675,0.02009387619546371,0.02437209060435111,0.020943999094905134,0.025748892810154283,0.03158296670310123,0.03161592692820702,0.028767661662490614,0.016995843133962935,0.19421499008227744,0.31632464065370824
0097f532ac9f,0.03248768970639945,0.014545209839393601,0.01456968044545947,0.015165460765724434,0.012595257754419064,0.014045338507419054,0.01119628899312117,0.012831280696796309,0.015476868962272336,0.017845978847923515,0.022267462145550726,0.03290862359945184,0.0326102400803261,0.031496235473537186,0.02691964010842794,0.02334851037158964,0.020631483723889062,0.023681823707438442,0.0196218738800747,0.02499672409628424,0.030317502166832103,0.02905193767731265,0.027898661694659967,0.014516397674187014,0.14052127127166358,0.33845255780982675
00a8624548a9,0.01684359685654102,0.005211972674082694,0.011089362410792319,0.015928229871242806,0.009881974723759337,0.01017879935528336,0.009109852190358933,0.010858919354538013,0.01546239425531496,0.02040389112489955,0.02257090018074389,0.03362750852479128,0.027687958848081288,0.041541910065775386,0.03278390933907195,0.03803766164495818,0.0294419755156796,0.03952964577859708,0.02614211247135073,0.028652384146681902,0.028230075046117315,0.026739837796038148,0.019689124601710264,0.014121078828702723,0.2746611919335865,0.19157373246128628
00b74780d31d,0.03908528085151317,0.018747444400414526,0.01707081319770795,0.01608902880111365,0.011829959284068771,0.011971059956142123,0.008472355319514905,0.009196014290833762,0.010414413660597225,0.01076805338696848,0.011740759978086737,0.01585951819744748,0.014842803984130126,0.015240451332700482,0.015093825039902578,0.01457342997380827,0.014207949631598693,0.01851615770437261,0.01647148069269149,0.023684191830606105,0.03226409941065245,0.03349473408344884,0.03418780479718537,0.018122457227748363,0.173955618214337,0.39410029475238917
00cb6555d108,0.03345543916135056,0.01103220274971744,0.017054124576555273,0.017663302636798797,0.014322956404308872,0.013721646397289629,0.010891769920956801,0.01190007286294109,0.01395959540086029,0.015723469878230773,0.017153786584062827,0.023412703711050194,0.020699417477949882,0.02833715132602856,0.02283881267738829,0.025956946012756117,0.021085905789360745,0.028626600314339966,0.02176565790276751,0.027243491927853594,0.029849963377787916,0.02825346385082485,0.021413741340372425,0.014301974929044125,0.22484273430585114,0.28449306848352846
